sequence,seq_type,method,pair,baseline_idx,ratio,num_matches,num_correct,num_ground_truth
i_bologna,illumination,orb,1_2,2,0.8,254,227,777
i_bologna,illumination,orb,1_2,2,0.85,333,278,777
i_bologna,illumination,orb,1_2,2,0.9,445,336,777
i_bologna,illumination,orb,1_2,2,0.95,666,396,777
i_bologna,illumination,orb,1_2,2,0.99,958,438,777
i_bologna,illumination,orb,1_3,3,0.5,25,25,724
i_bologna,illumination,orb,1_3,3,0.55,39,38,724
i_bologna,illumination,orb,1_3,3,0.6,50,49,724
i_bologna,illumination,orb,1_3,3,0.65,64,60,724
i_bologna,illumination,orb,1_3,3,0.7,82,75,724
i_bologna,illumination,orb,1_3,3,0.75,104,95,724
i_bologna,illumination,orb,1_3,3,0.8,145,123,724
i_bologna,illumination,orb,1_3,3,0.85,220,165,724
i_bologna,illumination,orb,1_3,3,0.9,346,206,724
i_bologna,illumination,orb,1_3,3,0.95,581,244,724
i_bologna,illumination,orb,1_3,3,0.99,941,283,724
i_bologna,illumination,orb,1_4,4,0.5,24,23,745
i_bologna,illumination,orb,1_4,4,0.55,34,33,745
i_bologna,illumination,orb,1_4,4,0.6,48,47,745
i_bologna,illumination,orb,1_4,4,0.65,68,65,745
i_bologna,illumination,orb,1_4,4,0.7,87,82,745
i_bologna,illumination,orb,1_4,4,0.75,117,104,745
i_bologna,illumination,orb,1_4,4,0.8,162,136,745
i_bologna,illumination,orb,1_4,4,0.85,220,173,745
i_bologna,illumination,orb,1_4,4,0.9,342,212,745
i_bologna,illumination,orb,1_4,4,0.95,601,265,745
i_bologna,illumination,orb,1_4,4,0.99,953,302,745
i_bologna,illumination,orb,1_5,5,0.5,15,15,716
i_bologna,illumination,orb,1_5,5,0.55,27,26,716
i_bologna,illumination,orb,1_5,5,0.6,44,42,716
i_bologna,illumination,orb,1_5,5,0.65,59,56,716
i_bologna,illumination,orb,1_5,5,0.7,75,69,716
i_bologna,illumination,orb,1_5,5,0.75,101,94,716
i_bologna,illumination,orb,1_5,5,0.8,139,118,716
i_bologna,illumination,orb,1_5,5,0.85,211,156,716
i_bologna,illumination,orb,1_5,5,0.9,325,191,716
i_bologna,illumination,orb,1_5,5,0.95,544,222,716
i_bologna,illumination,orb,1_5,5,0.99,943,247,716
i_bologna,illumination,orb,1_6,6,0.5,11,11,717
i_bologna,illumination,orb,1_6,6,0.55,26,26,717
i_bologna,illumination,orb,1_6,6,0.6,36,35,717
i_bologna,illumination,orb,1_6,6,0.65,54,53,717
i_bologna,illumination,orb,1_6,6,0.7,72,67,717
i_bologna,illumination,orb,1_6,6,0.75,95,89,717
i_bologna,illumination,orb,1_6,6,0.8,140,120,717
i_bologna,illumination,orb,1_6,6,0.85,180,137,717
i_bologna,illumination,orb,1_6,6,0.9,286,172,717
i_bologna,illumination,orb,1_6,6,0.95,523,204,717
i_bologna,illumination,orb,1_6,6,0.99,930,234,717
i_books,illumination,sift,1_2,2,0.5,238,232,370
i_books,illumination,sift,1_2,2,0.55,252,243,370
i_books,illumination,sift,1_2,2,0.6,268,254,370
i_books,illumination,sift,1_2,2,0.65,282,264,370
i_books,illumination,sift,1_2,2,0.7,303,275,370
i_books,illumination,sift,1_2,2,0.75,326,280,370
i_books,illumination,sift,1_2,2,0.8,367,286,370
i_books,illumination,sift,1_2,2,0.85,417,294,370
i_books,illumination,sift,1_2,2,0.9,483,297,370
i_books,illumination,sift,1_2,2,0.95,635,299,370
i_books,illumination,sift,1_2,2,0.99,880,303,370
i_books,illumination,sift,1_3,3,0.5,416,408,724
i_books,illumination,sift,1_3,3,0.55,433,424,724
i_books,illumination,sift,1_3,3,0.6,451,439,724
i_books,illumination,sift,1_3,3,0.65,476,454,724
i_books,illumination,sift,1_3,3,0.7,502,467,724
i_books,illumination,sift,1_3,3,0.75,522,476,724
i_books,illumination,sift,1_3,3,0.8,553,490,724
i_books,illumination,sift,1_3,3,0.85,605,506,724
i_books,illumination,sift,1_3,3,0.9,681,522,724
i_books,illumination,sift,1_3,3,0.95,796,531,724
i_books,illumination,sift,1_3,3,0.99,929,541,724
i_books,illumination,sift,1_4,4,0.5,425,418,691
i_books,illumination,sift,1_4,4,0.55,447,435,691
i_books,illumination,sift,1_4,4,0.6,467,450,691
i_books,illumination,sift,1_4,4,0.65,495,463,691
i_books,illumination,sift,1_4,4,0.7,520,475,691
i_books,illumination,sift,1_4,4,0.75,549,486,691
i_books,illumination,sift,1_4,4,0.8,575,495,691
i_books,illumination,sift,1_4,4,0.85,624,508,691
i_books,illumination,sift,1_4,4,0.9,681,521,691
i_books,illumination,sift,1_4,4,0.95,796,536,691
i_books,illumination,sift,1_4,4,0.99,933,539,691
i_books,illumination,sift,1_5,5,0.5,452,443,728
i_books,illumination,sift,1_5,5,0.55,474,463,728
i_books,illumination,sift,1_5,5,0.6,503,484,728
i_books,illumination,sift,1_5,5,0.65,529,500,728
i_books,illumination,sift,1_5,5,0.7,559,522,728
i_books,illumination,sift,1_5,5,0.75,593,539,728
i_books,illumination,sift,1_5,5,0.8,629,554,728
i_books,illumination,sift,1_5,5,0.85,670,565,728
i_books,illumination,sift,1_5,5,0.9,720,575,728
i_books,illumination,sift,1_5,5,0.95,806,583,728
i_books,illumination,sift,1_5,5,0.99,934,593,728
i_books,illumination,sift,1_6,6,0.5,394,374,552
i_books,illumination,sift,1_6,6,0.55,408,381,552
i_books,illumination,sift,1_6,6,0.6,427,390,552
i_books,illumination,sift,1_6,6,0.65,458,399,552
i_books,illumination,sift,1_6,6,0.7,484,406,552
i_books,illumination,sift,1_6,6,0.75,506,414,552
i_books,illumination,sift,1_6,6,0.8,540,425,552
i_books,illumination,sift,1_6,6,0.85,590,429,552
i_books,illumination,sift,1_6,6,0.9,671,439,552
