sequence,seq_type,method,pair,baseline_idx,num_kp1,num_kp2,num_matches,time_sec,correct_at_1px,num_ground_truth_at_1px,precision_at_1px,recall_at_1px,correct_at_2px,num_ground_truth_at_2px,precision_at_2px,recall_at_2px,correct_at_3px,num_ground_truth_at_3px,precision_at_3px,recall_at_3px,correct_at_5px,num_ground_truth_at_5px,precision_at_5px,recall_at_5px,correct_at_10px,num_ground_truth_at_10px,precision_at_10px,recall_at_10px
v_adam,viewpoint,sift,1_2,2,642,432,273,0.0979733943939209,174,212,0.6373626373626373,0.8207547169811321,255,318,0.9340659340659341,0.8018867924528302,260,354,0.9523809523809523,0.7344632768361582,260,461,0.9523809523809523,0.5639913232104121,262,573,0.9597069597069597,0.4572425828970332
v_adam,viewpoint,sift,1_3,3,642,318,198,0.0979733943939209,98,117,0.494949494949495,0.8376068376068376,177,231,0.8939393939393939,0.7662337662337663,188,284,0.9494949494949495,0.6619718309859155,189,395,0.9545454545454546,0.47848101265822784,190,549,0.9595959595959596,0.3460837887067395
v_adam,viewpoint,sift,1_4,4,642,290,94,0.0979733943939209,16,63,0.1702127659574468,0.25396825396825395,51,160,0.5425531914893617,0.31875,63,238,0.6702127659574468,0.2647058823529412,67,385,0.7127659574468085,0.17402597402597403,69,564,0.7340425531914894,0.12234042553191489
v_adam,viewpoint,sift,1_5,5,642,318,173,0.0979733943939209,69,115,0.3988439306358382,0.6,133,230,0.7687861271676301,0.5782608695652174,143,294,0.8265895953757225,0.48639455782312924,144,424,0.8323699421965318,0.33962264150943394,150,563,0.8670520231213873,0.2664298401420959
v_adam,viewpoint,sift,1_6,6,642,291,140,0.0979733943939209,51,82,0.36428571428571427,0.6219512195121951,96,185,0.6857142857142857,0.518918918918919,118,277,0.8428571428571429,0.4259927797833935,121,384,0.8642857142857143,0.3151041666666667,123,553,0.8785714285714286,0.2224231464737794
v_adam,viewpoint,orb,1_2,2,1205,1073,342,0.12833819389343262,148,546,0.4327485380116959,0.27106227106227104,297,916,0.868421052631579,0.324235807860262,320,1032,0.935672514619883,0.31007751937984496,331,1102,0.9678362573099415,0.3003629764065336,334,1184,0.9766081871345029,0.28209459459459457
v_adam,viewpoint,orb,1_3,3,1205,1057,316,0.12833819389343262,118,461,0.37341772151898733,0.2559652928416486,260,846,0.8227848101265823,0.3073286052009456,297,975,0.939873417721519,0.3046153846153846,307,1104,0.9715189873417721,0.27807971014492755,309,1178,0.9778481012658228,0.2623089983022071
v_adam,viewpoint,orb,1_4,4,1205,811,48,0.12833819389343262,4,331,0.08333333333333333,0.012084592145015106,29,670,0.6041666666666666,0.04328358208955224,34,876,0.7083333333333334,0.03881278538812785,38,1045,0.7916666666666666,0.03636363636363636,38,1160,0.7916666666666666,0.032758620689655175
v_adam,viewpoint,orb,1_5,5,1205,861,137,0.12833819389343262,29,385,0.2116788321167883,0.07532467532467532,98,749,0.7153284671532847,0.1308411214953271,126,902,0.9197080291970803,0.13968957871396895,131,1047,0.9562043795620438,0.1251193887297039,132,1175,0.9635036496350365,0.1123404255319149
v_adam,viewpoint,orb,1_6,6,1205,897,142,0.12833819389343262,50,340,0.352112676056338,0.14705882352941177,104,682,0.7323943661971831,0.15249266862170088,131,843,0.9225352112676056,0.1553973902728351,139,995,0.9788732394366197,0.13969849246231156,140,1147,0.9859154929577465,0.12205754141238012
